Kanji,Level,HanViet,On_Kana,On_Romaji,Kun_Kana,Kun_Romaji,Examples
幼,2,Ấu,ヨウ,you,おさな.い,osanai,幼稚園 (ようちえん) [youchien]: Kindergarten; 幼い (おさない) [osanai]: Very young/Childish
欲,3,Dục,ヨク,yoku,"ほっ.する, ほ.しい","hossuru, hoshii",欲しい (ほしい) [hoshii]: Wanted; 食欲 (しょくよく) [shokuyoku]: Appetite
翌,3,Dực,ヨク,yoku,,,翌日 (よくじつ) [yokujitsu]: Next day; 翌年 (よくねん) [yokunen]: Following year
乱,2,Loạn,ラン,ran,"みだ.れる, みだ.る, みだ.す","midareru, midaru, midasu",混乱 (こんらん) [konran]: Confusion; 乱暴 (らんぼう) [ranbou]: Violent/Rough
卵,3,Noãn,ラン,ran,たまご,tamago,卵 (たまご) [tamago]: Egg; 産卵 (さんらん) [sanran]: Egg-laying
覧,3,Lãm,ラン,ran,み.る,miru,展覧会 (てんらんかい) [tenrankai]: Exhibition; ご覧 (ごらん) [goran]: Look (honorific)
裏,3,Lý,リ,ri,うら,ura,裏 (うら) [ura]: Back/Reverse side; 裏口 (うらぐち) [uraguchi]: Back door
律,3,Luật,"リツ, リチ","ritsu, richi",,,法律 (ほうりつ) [houritsu]: Law; 規律 (きりつ) [kiritsu]: Discipline
臨,2,Lâm,リン,rin,のぞ.む,nozomu,臨時 (りんじ) [rinji]: Temporary; 臨床 (りんしょう) [rinshou]: Clinical
朗,2,Lãng,ロウ,rou,ほが.らか,hogaraka,朗読 (ろうどく) [roudoku]: Reading aloud; 明朗 (めいろう) [meirou]: Bright/Cheerful
論,3,Luận,ロン,ron,,,論文 (ろんぶん) [ronbun]: Thesis; 理論 (りろん) [riron]: Theory
握,2,Ác,アク,aku,にぎ.る,nigiru,握手 (あくしゅ) [akushu]: Handshake; 握る (にぎる) [nigiru]: To grasp
扱,1,Tráp,,,あつか.う,atsukau,扱い (あつかい) [atsukai]: Treatment/Handling; 取り扱う (とりあつかう) [toriatsukau]: To treat/handle
依,2,Y,"イ, エ","i, e",よ.る,yoru,依頼 (いらい) [irai]: Request; 依存 (いぞん) [izon]: Dependence
威,1,Uy,イ,i,,,威張る (いばる) [ibaru]: To be haughty; 威力 (いりょく) [iryoku]: Power/Might
為,1,Vi,イ,i,"ため, な.る, な.す, す.る","tame, naru, nasu, suru",行為 (こうい) [koui]: Act/Deed; 為替 (かわせ) [kawase]: Money order/Exchange
偉,2,Vĩ,イ,i,えら.い,erai,偉大 (いだい) [idai]: Great; 偉い (えらい) [erai]: Great/Admirable
違,3,Vi,イ,i,"ちが.う, ちが.い, ちが.える","chigau, chigai, chigaeru",違う (ちがう) [chigau]: To differ; 違反 (いはん) [ihan]: Violation
維,1,Duy,イ,i,,,維持 (いじ) [iji]: Maintenance; 繊維 (せんい) [sen'i]: Fiber
緯,1,Vĩ,イ,i,,,北緯 (ほくい) [hokui]: North latitude; 経緯 (けいい) [keii]: Longitude and latitude/Details
壱,1,Nhất,イチ,ichi,,,"金壱万円 (きんいちまんえん) [kin'ichiman'en]: 10,000 yen (formal)"
芋,1,Dụ,,,いも,imo,サツマ芋 (さつまいも) [satsumaimo]: Sweet potato; ジャガ芋 (じゃがいも) [jagaimo]: Potato
陰,2,Âm,イン,in,"かげ, かげ.る","kage, kageru",陰気 (いんき) [inki]: Gloomy; 日陰 (ひかげ) [hikage]: Shadow/Shade
隠,2,Ẩn,オン,on,"かく.す, かく.れる, よ.る","kakusu, kakureru, yoru",隠す (かくす) [kakusu]: To hide; 隠居 (いんきょ) [inkyo]: Retirement
影,2,Ảnh,エイ,ei,かげ,kage,影響 (えいきょう) [eikyou]: Influence; 影 (かげ) [kage]: Shadow
鋭,2,Nhuệ,エイ,ei,するど.い,surudoi,鋭い (するどい) [surudoi]: Sharp; 鋭角 (えいかく) [eikaku]: Acute angle
越,3,Việt,"エツ, オツ","etsu, otsu","こ.す, -こ.す, -ご.し, こ.える","kosu, -kosu, -goshi, koeru",引っ越し (ひっこし) [hikkoshi]: Moving; 超越 (ちょうえつ) [chouetsu]: Transcendence
援,2,Viện,エン,en,,,応援 (おうえん) [ouen]: Support; 援助 (えんじょ) [enjo]: Assistance
煙,2,Yên,エン,en,"けむ.る, けむり, けむ.い","kemuru, kemuri, kemui",禁煙 (きんえん) [kinen]: No smoking; 煙 (けむり) [kemuri]: Smoke
鉛,2,Duyên,エン,en,なまり,namari,鉛筆 (えんぴつ) [enpitsu]: Pencil; 亜鉛 (あえん) [aen]: Zinc
縁,1,Duyên,エン,en,ふち,fuchi,縁 (えん) [en]: Fate/Connection; 縁側 (えんがわ) [engawa]: Veranda
汚,2,Ô,オ,o,"けが.す, けが.れる, けが.らわしい, よご.す, よご.れる, きたな.い","kegasu, kegareru, kegarawashii, yogosu, yogoreru, kitanai",汚い (きたない) [kitanai]: Dirty; 汚染 (おせん) [osen]: Pollution
押,3,Áp,オウ,ou,"お.す, お.し-, お.っ-, お.さえる","osu, oshi-, o-, osaeru",押す (おす) [osu]: To push; 押入れ (おしいれ) [oshiire]: Closet
奥,2,Áo,オウ,ou,おく,oku,奥 (おく) [oku]: Inner part; 奥さん (おくさん) [okusan]: Wife (polite)
憶,2,Ức,オク,oku,,,記憶 (きおく) [kioku]: Memory; 憶測 (おくそく) [okusoku]: Speculation
菓,2,Quả,カ,ka,,,お菓子 (おかし) [okashi]: Sweets/Snacks; 菓子屋 (かしや) [kashiya]: Confectionery store
暇,1,Hạ,カ,ka,ひま,hima,休暇 (きゅうか) [kyuuka]: Vacation; 暇 (ひま) [hima]: Free time
箇,1,Cá,カ,ka,,,箇所 (かしょ) [kasho]: Place/Point; 箇条書き (かじょうがき) [kajougaki]: Itemized list
雅,1,Nhã,ガ,ga,みやび,miyabi,優雅 (ゆうが) [yuuga]: Elegance
介,2,Giới,カイ,kai,,,紹介 (しょうかい) [shoukai]: Introduction; 介入 (かいにゅう) [kainyuu]: Intervention
戒,1,Giới,カイ,kai,いまし.める,imashimeru,警戒 (けいかい) [keikai]: Caution; 戒律 (かいりつ) [kairitsu]: Precept
皆,3,Giai,カイ,kai,みな,mina,皆様 (みなさま) [minasama]: Everyone (polite); 皆 (みな) [mina]: Everyone
壊,2,Hoại,カイ,kai,"こわ.す, こわ.れる","kowasu, kowareru",破壊 (はかい) [hakai]: Destruction; 壊す (こわす) [kowasu]: To break
較,2,Giác,カク,kaku,,,比較 (ひかく) [hikaku]: Comparison
獲,2,Hoạch,カク,kaku,え.る,eru,獲得 (かくとく) [kakutoku]: Acquisition; 獲物 (えもの) [emono]: Prey/Game
刈,1,Ngải,ガイ,kai,か.る,karu,刈る (かる) [karu]: To mow/cut
甘,2,Cam,カン,kan,"あま.い, あま.える, あま.やかす, うま.い","amai, amaeru, amayakasu, umai",甘い (あまい) [amai]: Sweet; 甘やかす (あまやかす) [amayakasu]: To spoil
汗,2,Hãn,カン,kan,あせ,ase,汗 (あせ) [ase]: Sweat; 冷や汗 (ひやあせ) [hiyaase]: Cold sweat
乾,2,Can,カン,kan,"かわ.く, かわ.かす","kawaku, kawakasu",乾燥 (かんそう) [kansou]: Dryness; 乾杯 (かんぱい) [kanpai]: Cheers
勧,2,Khuyến,カン,kan,すす.める,susumeru,勧誘 (かんゆう) [kanyuu]: Solicitation; お勧め (おすすめ) [osusume]: Recommendation
歓,2,Hoan,カン,kan,,,歓迎 (かんげい) [kangei]: Welcome; 歓声 (かんせい) [kansei]: Cheer/Shout of joy
監,1,Giam,カン,kan,,,監督 (かんとく) [kantoku]: Supervision/Director; 監視 (かんし) [kanshi]: Surveillance
環,2,Hoàn,カン,kan,わ,wa,環境 (かんきょう) [kankyou]: Environment; 循環 (じゅんかん) [junkan]: Circulation
鑑,1,Giám,カン,kan,"かんが.みる, かがみ","kangamiru, kagami",鑑賞 (かんしょう) [kanshou]: Appreciation (art); 図鑑 (ずかん) [zukan]: Illustrated reference book
含,2,Hàm,ガン,gan,"ふく.む, ふく.める","fukumu, fukumeru",含む (ふくむ) [fukumu]: To include; 含有 (がんゆう) [ganyuu]: Containing
奇,2,Kỳ,キ,ki,,,奇数 (きすう) [kisuu]: Odd number; 奇跡 (きせき) [kiseki]: Miracle
祈,2,Kỳ,キ,ki,いの.る,inoru,祈る (いのる) [inoru]: To pray; 祈願 (きがん) [kigan]: Prayer
鬼,2,Quỷ,キ,ki,おに,oni,鬼 (おに) [oni]: Demon/Ogre; 吸血鬼 (きゅうけつき) [kyuuketsuki]: Vampire
幾,2,Cơ,キ,ki,いく,iku,幾つ (いくつ) [ikutsu]: How many; 幾何学 (きかがく) [kikagaku]: Geometry
輝,2,Huy,キ,ki,かがや.く,kagayaku,輝く (かがやく) [kagayaku]: To shine; 光輝 (こうき) [kouki]: Splendor
儀,2,Nghi,ギ,gi,,,儀式 (ぎしき) [gishiki]: Ceremony; 礼儀 (れいぎ) [reigi]: Manners
戯,1,Hí,ギ,gi,たわむ.れる,tawamureru,遊戯 (ゆうぎ) [yuugi]: Game/Play; 戯曲 (ぎきょく) [gikyoku]: Drama/Play
詰,2,Cật,キツ,kitsu,"つ.める, つ.まる, つ.む","tsumeru, tsumaru, tsumu",缶詰 (かんづめ) [kanzume]: Canned food; 詰める (つめる) [tsumeru]: To pack/fill
脚,1,Cước,"キャク, キャ","kyaku, kya",あし,ashi,脚本 (きゃくほん) [kyakuhon]: Script; 失脚 (しっきゃく) [shikkyaku]: Downfall
虐,1,Ngược,ギャク,gyaku,しいた.げる,shiitageru,虐待 (ぎゃくたい) [gyakutai]: Abuse; 残虐 (ざんぎゃく) [zangyaku]: Cruelty
丘,1,Khâu,キュウ,kyuu,おか,oka,丘 (おか) [oka]: Hill; 砂丘 (さきゅう) [sakyuu]: Sand dune
朽,1,Hủ,キュウ,kyuu,く.ちる,kuchiru,不朽 (ふきゅう) [fukyuu]: Immortal; 老朽 (ろうきゅう) [roukyuu]: Decrepitude
巨,2,Cự,キョ,kyo,,,巨大 (きょだい) [kyodai]: Huge; 巨人 (きょじん) [kyojin]: Giant
拠,2,Cứ,キョ,kyo,よ.る,yoru,証拠 (しょうこ) [shouko]: Evidence; 根拠 (こんきょ) [konkyo]: Basis/Grounds
距,2,Cự,キョ,kyo,,,距離 (きょり) [kyori]: Distance; 長距離 (ちょうきょり) [choukyori]: Long distance
御,"3,1",Ngự/Ngữ,"ギョ, ゴ","gyo, go","おん-, お-","on-, o-",御飯 (ごはん) [gohan]: Rice/Meal; 御中 (おんちゅう) [onchuu]: To (organization)
凶,1,Hung,キョウ,kyou,,,凶悪 (きょうあく) [kyouaku]: Atrocious; 凶作 (きょうさく) [kyousaku]: Bad harvest
叫,2,Khiếu,キョウ,kyou,さけ.ぶ,sakebu,叫ぶ (さけぶ) [sakebu]: To shout; 絶叫 (ぜっきょう) [zekkyou]: Scream
狂,2,Cuồng,キョウ,kyou,くる.う,kuruu,熱狂 (ねっきょう) [nekkyou]: Enthusiasm; 狂う (くるう) [kuruu]: To go mad
況,2,Huống,キョウ,kyou,,,状況 (じょうきょう) [joukyou]: Situation; 不況 (ふきょう) [fukyou]: Recession
狭,3,Hiệp,キョウ,kyou,"せま.い, せば.める, せば.まる","semai, sebameru, sebamaru",狭い (せまい) [semai]: Narrow; 偏狭 (へんきょう) [henkyou]: Narrow-mindedness
恐,3,Khủng,キョウ,kyou,"おそ.れる, おそ.ろしい","osoreru, osoroshii",恐ろしい (おそろしい) [osoroshii]: Scary; 恐竜 (きょうりゅう) [kyouryuu]: Dinosaur
響,2,Hưởng,キョウ,kyou,ひび.く,hibiku,影響 (えいきょう) [eikyou]: Influence; 響く (ひびく) [hibiku]: To resound
驚,2,Kinh,キョウ,kyou,"おどろ.く, おどろ.かす","odoroku, odorokasu",驚く (おどろく) [odoroku]: To be surprised; 驚異 (きょうい) [kyoui]: Wonder
仰,1,Ngưỡng,ギョウ,gyou,"あお.ぐ, おお.せ","aogu, oose",信仰 (しんこう) [shinkou]: Faith; 仰ぐ (あおぐ) [aogu]: To look up
駆,1,Khu,ク,ku,か.ける,kakeru,駆け足 (かけあし) [kakeashi]: Running fast; 駆使 (くし) [kushi]: Using freely
屈,1,Khuất,クツ,kutsu,"かが.む, かが.める","kagamu, kagameru",退屈 (たいくつ) [taikutsu]: Boredom; 屈折 (くっせつ) [kussetsu]: Refraction
掘,2,Quật,クツ,kutsu,ほ.る,horu,発掘 (はっくつ) [hakkutsu]: Excavation; 掘る (ほる) [horu]: To dig
繰,1,Tào,,,く.る,kuru,繰り返す (くりかえす) [kurikaesu]: To repeat; 繰り上げ (くりあげ) [kuriage]: Moving up
恵,2,Huệ,"ケイ, エ","kei, e",めぐ.む,megumu,知恵 (ちえ) [chie]: Wisdom; 恵む (めぐむ) [megumu]: To bless/show mercy
傾,2,Khuynh,ケイ,kei,"かたむ.く, かたむ.ける, かたぶ.く, かし.ぐ","katamuku, katamukeru, katabuku, kashigu",傾向 (けいこう) [keikou]: Tendency; 傾く (かたむく) [katamuku]: To incline
継,2,Kế,ケイ,kei,つ.ぐ,tsugu,継続 (けいぞく) [keizoku]: Continuation; 後継者 (こうけいしゃ) [koukeisha]: Successor
迎,3,Nghênh,ゲイ,gei,むか.える,mukaeru,歓迎 (かんげい) [kangei]: Welcome; 迎える (むかえる) [mukaeru]: To welcome/meet
撃,2,Kích,ゲキ,geki,う.つ,utsu,攻撃 (こうげき) [kougeki]: Attack; 目撃 (もくげき) [mokugeki]: Witnessing
肩,2,Kiên,ケン,ken,かた,kata,肩 (かた) [kata]: Shoulder; 肩書き (かたがき) [katagaki]: Title/Degree
兼,1,Kiêm,ケン,ken,か.ねる,kaneru,兼用 (けんよう) [kenyou]: Dual use; 兼ねる (かねる) [kaneru]: To serve two functions
剣,1,Kiếm,ケン,ken,つるぎ,tsurugi,真剣 (しんけん) [shinken]: Serious; 剣道 (けんどう) [kendou]: Kendo
軒,1,Hiên,ケン,ken,のき,noki,一軒 (いっけん) [ikken]: One house; 軒 (のき) [noki]: Eaves
圏,1,Quyển,ケン,ken,,,圏外 (けんがい) [kengai]: Out of range; 首都圏 (しゅとけん) [shutoken]: Metropolitan area
堅,1,Kiên,ケン,ken,"かた.い, -がた.い","katai, -gatai",堅実 (けんじつ) [kenjitsu]: Solid/Reliable; 堅い (かたい) [katai]: Hard
遣,1,Khiển,ケン,ken,"つか.う, -つか.い, -づか.い","tsukau, -tsukai, -zukai",派遣 (はけん) [haken]: Dispatch; 小遣い (こづかい) [kozukai]: Pocket money
玄,1,Huyền,ゲン,gen,,,玄関 (げんかん) [genkan]: Entrance hall; 玄米 (げんまい) [genmai]: Brown rice
枯,1,Khô,コ,ko,"か.れる, か.らす","kareru, karasu",枯れる (かれる) [kareru]: To wither; 枯れ葉 (かれは) [kareha]: Dead leaf
誇,1,Khoa,コ,ko,ほこ.る,hokoru,誇張 (こちょう) [kochou]: Exaggeration; 誇り (ほこり) [hokori]: Pride
鼓,1,Cổ,コ,ko,つづみ,tsuzumi,太鼓 (たいこ) [taiko]: Drum; 鼓動 (こどう) [kodou]: Beat/Palpitation
互,2,Hỗ,ゴ,go,たが.い,tagai,相互 (そうご) [sougo]: Mutual; お互い (おたがい) [otagai]: Each other
抗,2,Kháng,コウ,kou,,,抵抗 (ていこう) [teikou]: Resistance; 反抗 (はんこう) [hankou]: Opposition
攻,2,Công,コウ,kou,せ.める,semeru,攻撃 (こうげき) [kougeki]: Attack; 専攻 (せんこう) [senkou]: Major subject
更,3,Canh,コウ,kou,"さら, さら.に, ふ.ける, ふ.かす","sara, sarani, fukeru, fukasu",変更 (へんこう) [henkou]: Change; 更に (さらに) [sarani]: Furthermore
恒,1,Hằng,コウ,kou,,,恒星 (こうせい) [kousei]: Fixed star; 恒久 (こうきゅう) [koukyuu]: Permanent
荒,2,Hoang,コウ,kou,"あら.い, あら-","arai, ara-",荒れる (あれる) [areru]: To be stormy/rough; 荒野 (こうや) [kouya]: Wasteland
香,2,Hương,"コウ, キョウ","kou, kyou","か, かお.り, かお.る","ka, kaori, kaoru",香水 (こうすい) [kousui]: Perfume; 香り (かおり) [kaori]: Scent
項,2,Hạng,コウ,kou,,,項目 (こうもく) [koumoku]: Item; 事項 (じこう) [jikou]: Matter
稿,2,Cảo,コウ,kou,,,原稿 (げんこう) [genkou]: Manuscript; 投稿 (とうこう) [toukou]: Contribution/Post
豪,2,Hào,ゴウ,gou,,,豪華 (ごうか) [gouka]: Splendid; 豪雨 (ごうう) [gouu]: Heavy rain
込,3,Nhập,,,こ.む,komu,込む (こむ) [komu]: To be crowded; 申し込む (もうしこむ) [moushikomu]: To apply
婚,2,Hôn,コン,kon,,,結婚 (けっこん) [kekkon]: Marriage; 婚約 (こんやく) [konyaku]: Engagement
鎖,1,Tỏa,サ,sa,くさり,kusari,閉鎖 (へいさ) [heisa]: Closing; 連鎖 (れんさ) [rensa]: Chain/Linkage
彩,1,Thải,サイ,sai,いろど.る,irodoru,色彩 (しきさい) [shikisai]: Color; 多彩 (たさい) [tasai]: Colorful/Variegated
歳,2,Tuế,サイ,sai,,,二十歳 (はたち) [hatachi]: 20 years old; 歳暮 (せいぼ) [seibo]: Year-end gift
載,2,Tái,サイ,sai,"の.せる, の.る","noseru, noru",掲載 (けいさい) [keisai]: Publication; 載せる (のせる) [noseru]: To place on/load
剤,1,Tễ,ザイ,zai,,,洗剤 (せんざい) [senzai]: Detergent; 薬剤 (やくざい) [yakuzai]: Medicine/Drug
索,1,Sách,サク,saku,,,検索 (けんさく) [kensaku]: Search; 模索 (もさく) [mosaku]: Groping/Exploring
錯,1,Thác,サク,saku,,,錯覚 (さっかく) [sakkaku]: Optical illusion; 錯誤 (さくご) [sakugo]: Mistake
咲,2,Tiếu,ショウ,shou,さ.く,saku,咲く (さく) [saku]: To bloom; 遅咲き (おそざき) [osozaki]: Late blooming
撮,3,Toát,サツ,satsu,と.る,toru,撮影 (さつえい) [satsuei]: Photography; 撮る (とる) [toru]: To take a photo
擦,1,Sát,サツ,satsu,す.る,suru,摩擦 (まさつ) [masatsu]: Friction; 擦る (する) [suru]: To rub/chafe
暫,1,Tạm,ザン,zan,しばら.く,shibaraku,暫定 (ざんてい) [zantei]: Tentative; 暫く (しばらく) [shibaraku]: For a while
施,2,Thi,"シ, セ","shi, se",ほどこ.す,hodokosu,施設 (しせつ) [shisetsu]: Facility; 実施 (じっし) [jisshi]: Implementation
祉,1,Chỉ,シ,shi,,,福祉 (ふくし) [fukushi]: Welfare
諮,1,Ty,シ,shi,はか.る,hakaru,諮問 (しもん) [shimon]: Inquiry/Consultation
侍,1,Thị,"ジ, シ","ji, shi",さむらい,samurai,侍 (さむらい) [samurai]: Samurai
慈,1,Từ,ジ,ji,いつく.しむ,itsukushimu,慈悲 (じひ) [jihi]: Mercy; 慈善 (じぜん) [jizen]: Charity
軸,2,Trục,ジク,jiku,,,主軸 (しゅじく) [shujiku]: Main shaft/Axis; 掛け軸 (かけじく) [kakejiku]: Hanging scroll
湿,2,Thấp,シツ,shitsu,しめ.る,shimeru,湿度 (しつど) [shitsudo]: Humidity; 湿る (しめる) [shimeru]: To become damp
疾,1,Tật,シツ,shitsu,,,疾患 (しっかん) [shikkan]: Disease; 疾走 (しっそう) [shissou]: Sprinting
赦,1,Xá,シャ,sha,,,容赦 (ようしゃ) [yousha]: Pardon/Mercy; 赦免 (しゃめん) [shamen]: Pardon
邪,1,Tà,ジャ,ja,,,邪魔 (じゃま) [jama]: Hindrance; 風邪 (かぜ) [kaze]: Cold (illness)
殊,1,Thù,シュ,shu,こと,koto,特殊 (とくしゅ) [tokushu]: Special; 殊に (ことに) [kotoni]: Especially
寿,1,Thọ,ジュ,ju,ことぶき,kotobuki,寿命 (じゅみょう) [jumyou]: Lifespan; 寿司 (すし) [sushi]: Sushi
潤,1,Nhuận,ジュン,jun,うるお.う,uruou,利潤 (りじゅん) [rijun]: Profit; 潤う (うるおう) [uruou]: To be moist/rich
遵,1,Tuân,ジュン,jun,,,遵守 (じゅんしゅ) [junshu]: Compliance
如,1,Như,"ジョ, ニョ","jo, nyo",ごと.し,gotoshi,突如 (とつじょ) [totsujo]: Suddenly; 如実 (にょじつ) [nyojitsu]: Reality
徐,1,Từ,ジョ,jo,,,徐行 (じょこう) [jokou]: Slow speed; 徐々に (じょじょに) [jojoni]: Gradually
匠,1,Tượng,ショウ,shou,たくみ,takumi,師匠 (ししょう) [shishou]: Master; 匠 (たくみ) [takumi]: Artisan
昇,1,Thăng,ショウ,shou,のぼ.る,noboru,昇進 (しょうしん) [shoushin]: Promotion; 上昇 (じょうしょう) [joushou]: Rising
掌,1,Chưởng,ショウ,shou,てのひら,tenohira,掌握 (しょうあく) [shouaku]: Grasping/Seizing; 合掌 (がっしょう) [gasshou]: Pressing hands together
晶,1,Tinh,ショウ,shou,,,結晶 (けっしょう) [kesshou]: Crystal
焦,1,Tiêu,ショウ,shou,あせ.る,aseru,焦点 (しょうてん) [shouten]: Focus; 焦る (あせる) [aseru]: To be in a hurry
衝,2,Xung,ショウ,shou,,,衝突 (しょうとつ) [shoutotsu]: Collision; 衝撃 (しょうげき) [shougeki]: Shock/Impact
鐘,1,Chung,ショウ,shou,かね,kane,警鐘 (けいしょう) [keishou]: Alarm bell; 鐘 (かね) [kane]: Bell
冗,1,Nhũng,ジョウ,jou,,,冗談 (じょうだん) [joudan]: Joke; 冗長 (じょうちょう) [jouchou]: Redundant
嬢,1,Nương,ジョウ,jou,,,お嬢さん (おじょうさん) [ojousan]: Young lady
錠,1,Đĩnh,ジョウ,jou,,,錠剤 (じょうざい) [jouzai]: Pill/Tablet; 手錠 (てじょう) [tejou]: Handcuffs
譲,2,Nhượng,ジョウ,jou,ゆず.る,yuzuru,譲歩 (じょうほ) [jouho]: Concession; 譲る (ゆずる) [yuzuru]: To hand over
嘱,1,Chúc,ショク,shoku,,,委嘱 (いしょく) [ishoku]: Entrusting
辱,1,Nhục,ジョク,joku,はずかし.める,hazukashimeru,侮辱 (ぶじょく) [bujoku]: Insult; 雪辱 (せつじょく) [setsujoku]: Revenge
伸,2,Thân,シン,shin,の.びる,nobiru,伸縮 (しんしゅく) [shinshuku]: Expansion and contraction; 伸びる (のびる) [nobiru]: To stretch/grow
辛,2,Tân,シン,shin,から.い,karai,辛抱 (しんぼう) [shinbou]: Patience; 辛い (からい) [karai]: Spicy
審,2,Thẩm,シン,shin,,,審査 (しんさ) [shinsa]: Judging; 審判 (しんぱん) [shinpan]: Referee
炊,1,Xuy,スイ,sui,た.く,taku,炊飯 (すいはん) [suihan]: Cooking rice; 自炊 (じすい) [jisui]: Cooking for oneself
粋,1,Túy,スイ,sui,いき,iki,純粋 (じゅんすい) [junsui]: Pure; 粋 (いき) [iki]: Chic/Stylish
衰,1,Suy,スイ,sui,おとろ.える,otoroeru,衰退 (すいたい) [suitai]: Decline; 衰える (おとろえる) [otoroえる]: To become weak
酔,1,Túy,スイ,sui,よ.う,you,麻酔 (ますい) [masui]: Anesthesia; 酔う (よう) [you]: To get drunk
遂,1,Toại,スイ,sui,と.げる,togeru,遂行 (すいこう) [suikou]: Accomplishment; 遂げる (とげる) [togeru]: To accomplish
随,1,Tùy,ズイ,zui,,,随筆 (ずいひつ) [zuihitsu]: Essay; 随時 (ずいじ) [zuiji]: At any time
髄,1,Tủy,ズイ,zui,,,骨髄 (こつずい) [kotsuzui]: Bone marrow; 真髄 (しんずい) [shinzui]: Essence
枢,1,Xu,スウ,suu,,,枢軸 (すうじく) [suujiku]: Axis/Pivot
据,1,Cư,,,す.える,sueru,据え置き (すえおき) [sueoki]: Deferment; 据える (すえる) [sueru]: To install/set
杉,1,Sam,,すぎ,sugi,杉 (すぎ) [sugi]: Japanese cedar
澄,1,Trừng,チョウ,chou,す.む,sumu,清澄 (せいちょう) [seichou]: Clear/Serene; 澄む (すむ) [sumu]: To become clear
瀬,1,Lại,,せ,se,瀬戸物 (せともの) [setomono]: Earthenware
是,1,Thị,ゼ,ze,,,是正 (ぜせい) [zesei]: Correction; 是非 (ぜひ) [zehi]: Certainly
姓,1,Tính,セイ,sei,,,姓名 (せいめい) [seimei]: Full name; 旧姓 (きゅうせい) [kyuusei]: Maiden name
征,1,Chinh,セイ,sei,,,遠征 (えんせい) [ensei]: Expedition; 征服 (せいふく) [seifuku]: Conquest
牲,1,Sinh,セイ,sei,,,犠牲 (ぎせい) [gisei]: Sacrifice
誓,1,Thệ,セイ,sei,ちか.う,chikau,誓約 (せいやく) [seiyaku]: Oath/Pledge; 誓う (ちかう) [chikau]: To swear/vow
請,2,Thỉnh,"セイ, シン","sei, shin",こ.う,kou,請求 (せいきゅう) [seikyuu]: Claim/Request; 申請 (しんせい) [shinsei]: Application
逝,1,Thệ,セイ,sei,ゆ.く,yuku,急逝 (きゅうせい) [kyuusei]: Sudden death
斉,1,Tề,セイ,sei,,,一斉 (いっせい) [issei]: Simultaneous; 斉唱 (せいしょう) [seishou]: Unison singing
隻,1,Chích,セキ,seki,,,船隻 (せんせき) [senseki]: Ships; 一隻 (いっせき) [isseki]: One ship (counter)
惜,1,Tích,セキ,seki,お.しい,oshii,惜敗 (せきはい) [sekihai]: Regrettable defeat; 惜しい (おしい) [oshii]: Regrettable/Almost
斥,1,Xích,セキ,seki,,,排斥 (はいせき) [haiseki]: Boycott/Rejection
析,1,Tích,セキ,seki,,,分析 (ぶんせき) [bunseki]: Analysis; 解析 (かいせき) [kaiseki]: Analytical study
籍,2,Tịch,セキ,seki,,,国籍 (こくせき) [kokuseki]: Nationality; 戸籍 (こせき) [koseki]: Family register
拙,1,Chuyết,セツ,setsu,つたな.い,tsutanai,拙者 (せっしゃ) [sessha]: I (humble/archaic); 拙い (つたない) [tsutanai]: Poor/Unskillful
窃,1,Thiết,セツ,setsu,,,窃盗 (せっとう) [settou]: Theft
摂,1,Nhiếp,セツ,setsu,,,摂取 (せっしゅ) [sesshu]: Intake/Absorption
仙,1,Tiên,セン,sen,,,仙人 (せんにん) [sennin]: Hermit/Wizard
占,2,Chiêm,セン,sen,うらな.う,uranau,占領 (せんりょう) [senryou]: Occupation; 占い (うらない) [uranai]: Fortune telling
扇,1,Phiến,セン,sen,おうぎ,ougi,扇風機 (せんぷうき) [senpuuki]: Electric fan; 扇子 (せんす) [sensu]: Folding fan
栓,1,Xuyên,セン,sen,,,栓 (せん) [sen]: Stopper/Plug; 栓抜き (せんぬき) [sennuki]: Bottle opener
潜,2,Tiềm,セン,sen,もぐ.る,moguru,潜在 (せんざい) [senzai]: Latent/Potential; 潜る (もぐる) [moguru]: To dive
旋,1,Toàn,セン,sen,,,旋律 (せんりつ) [senritsu]: Melody; 旋風 (せんぷう) [senpuu]: Whirlwind
繊,1,Tiêm,セン,sen,,,繊維 (せんい) [seni]: Fiber; 繊細 (せんさい) [sensai]: Delicate
薦,1,Tiến,セン,sen,すす.める,susumeru,推薦 (すいせん) [suisen]: Recommendation
禅,1,Thiền,ゼン,zen,,,座禅 (ざぜん) [zazen]: Zen meditation
漸,1,Tiệm,ゼン,zen,,,漸次 (ぜんじ) [zenji]: Gradually
租,1,Tô,ソ,so,,,租税 (そぜい) [sozei]: Taxes
疎,1,Sơ,ソ,so,うと.い,utoi,疎外 (そがい) [sogai]: Alienation; 疎遠 (そえん) [soen]: Estrangement
塑,1,Tố,ソ,so,,,彫塑 (ちょうそ) [chouso]: Carving and modeling
壮,1,Tráng,ソウ,sou,,,壮大 (そうだい) [soudai]: Magnificent; 悲壮 (ひそう) [hisou]: Tragic
荘,1,Trang,ソウ,sou,,,別荘 (べっそう) [bessou]: Villa; 荘厳 (そうごん) [sougon]: Solemnity
捜,2,Sưu,ソウ,sou,さが.す,sagasu,捜査 (そうさ) [sousa]: Investigation; 捜す (さがす) [sagasu]: To search (for lost item)
